time;x;y;z;w;velocidad;voltaje
16:24:22:829;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:837;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:847;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:857;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:869;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:877;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:887;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:897;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:907;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:917;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:927;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:937;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:947;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:957;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:967;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:977;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:987;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:997;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:007;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:017;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:027;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:037;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:047;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:057;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:067;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:077;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:087;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:098;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:107;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:117;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:127;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:137;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:148;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:157;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:167;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:177;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:187;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:197;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:207;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:217;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:227;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:239;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:247;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:257;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:267;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:277;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:287;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:310;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:312;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:318;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:327;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:337;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:347;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:357;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:367;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:378;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:387;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:401;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:407;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:417;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:428;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:438;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:450;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:457;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:468;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:477;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:488;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:497;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:508;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:517;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:527;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:537;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:548;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:557;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:567;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:578;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:587;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:598;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:608;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:617;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:628;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:637;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:649;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:658;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:667;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:678;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:687;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:701;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:708;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:717;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:727;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:737;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:747;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:757;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:767;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:801;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:777;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:801;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:807;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:829;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:829;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:837;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:847;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:857;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:867;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:878;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:888;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:897;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:908;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:927;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:917;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:967;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:977;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:987;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:957;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:937;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:947;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:23:997;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:24:009;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:24:017;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:24:027;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:24:037;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:24:047;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:24:057;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:24:068;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:24:077;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:24:087;17278;6736;7581;6403;DF;aDFbDFcDFdEF
16:24:24:097;17265;6724;7568;6391;DF;aDFbDFcDFdEF
16:24:24:107;17245;6704;7549;6373;DF;aDFbDFcDFdEF
16:24:24:118;17219;6679;7523;6348;DF;aDFbDFcDFdEF
16:24:24:127;17188;6649;7493;6319;DF;aDFbDFcDFdEF
16:24:24:137;17152;6616;7459;6287;DF;aDFbDFcDFdEF
16:24:24:147;17113;6580;7422;6251;DF;aDFbDFcDFdEF
16:24:24:157;17071;6542;7382;6213;DF;aDFbDFcDFdEF
16:24:24:167;17026;6502;7341;6173;DF;aDFbDFcDFdEF
16:24:24:177;16979;6461;7297;6131;DF;aDFbDFcDFdEF
16:24:24:187;16931;6418;7252;6087;DF;aDFbDFcDFdEF
16:24:24:197;16881;6374;7206;6042;DF;aDFbDFcDFdEF
16:24:24:209;16830;6329;7158;5995;DF;aDFbDFcDFdEF
16:24:24:217;16778;6283;7110;5948;DF;aDFbDFcDFdEF
16:24:24:227;16725;6237;7062;5900;DF;aDFbDFcDFdEF
16:24:24:237;16672;6190;7013;5851;DF;aDFbDFcDFdEF
16:24:24:247;16618;6143;6964;5802;DF;aDFbDFcDFdEF
16:24:24:259;16563;6096;6914;5752;DF;aDFbDFcDFdEF
16:24:24:267;16508;6048;6864;5702;DF;aDFbDFcDFdEF
16:24:24:277;16453;6000;6813;5651;DF;aDFbDFcDFdEF
16:24:24:287;16397;5952;6763;5600;DF;aDFbDFcDFdEF
16:24:24:297;16342;5904;6712;5548;DF;aDFbDFcDFdEF
16:24:24:307;16286;5855;6661;5496;DF;aDFbDFcDFdEF
16:24:24:317;16230;5806;6610;5444;DF;aDFbDFcDFdEF
